"","X","match_date","hometeam","awayteam","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11"
"5280",5280,"2014-04-19","Chelsea","Sunderland","Mark Schwarzer","Gary Cahill","John Terry","CÈsar Azpilicueta","Branislav Ivanovic","Nemanja Matic"," Oscar"," Ramires","Mohamed Salah"," Willian","Samuel Eto'o","Vito Mannone","Wes Brown"," Marcos Alonso","John O'Shea","Santiago Vergini","Jack Colback","Seb Larsson","Lee Cattermole","Adam Johnson","Fabio Borini","Connor Wickham"
"5281",5281,"2014-04-19","Newcastle","Swansea","Tim Krul","Paul Dummett","Mike Williamson","Vurnon Anita","Fabricio Coloccini","Dan Gosling","Cheik TiotÈ","Yoan Gouffran","Shola Ameobi","Papiss CissÈ","Luuk de Jong","Michel Vorm","Angel Rangel","Jordi Amat","Ashley Williams","Ben Davies","Leon Britton","Jonathan De Guzman"," Pablo Hern·ndez","Wayne Routledge","Jonjo Shelvey","Wilfried Bony"
"5282",5282,"2014-04-19","Tottenham","Fulham","Hugo Lloris","Zeki Fryers","YounËs Kaboul","Kyle Naughton","Danny Rose","Nacer Chadli","Christian Eriksen","Aaron Lennon"," Paulinho","Emmanuel Adebayor","Harry Kane","David Stockdale","Fernando Amorebieta","Johnny Heitinga","John Arne Riise","Brede Hangeland","Alex Kacaniklic","William Kvist","Scott Parker","Steve Sidwell","Ashkan Dejagah","Hugo Rodallega"
"5283",5283,"2014-04-19","West Ham","Crystal Palace"," Adri·n","Pablo Armero","James Tomkins","Winston Reid","George McCartney","Stewart Downing","Matt Jarvis","Mark Noble","Kevin Nolan","Mo DiamÈ","Andy Carroll","Juli·n Speroni","Joel Ward","Scott Dann","Adrian Mariappa","Damien Delaney","Mile Jedinak","Kagisho Dikgacoi","Joe Ledley","Jason Puncheon","Yannick Bolasie","Cameron Jerome"
"5284",5284,"2014-04-20","Everton","Man United","Tim Howard","Sylvain Distin","John Stones","Gareth Barry","Seamus Coleman","Leighton Baines","Ross Barkley","James McCarthy","Kevin Mirallas","Steven Naismith","Romelu Lukaku","David De Gea","Jonny Evans","Chris Smalling","Phil Jones","Alexander Buttner","Michael Carrick","Darren Fletcher"," Juan Mata","Shinji Kagawa"," Nani","Wayne Rooney"
"5285",5285,"2014-04-20","Hull","Arsenal","Steve Harper","James Chester","Curtis Davies","Ahmed Elmohamady","Tom Huddlestone","Jake Livermore","David Meyler","Liam Rosenior","George Boyd","Nikica Jelavic","Shane Long","Wojciech Szczesny","Laurent Koscielny","Nacho Monreal","Bakary Sagna","Per Mertesacker","Mikel Arteta"," Mesut ÷zil","Aaron Ramsey"," Santi Cazorla","Olivier Giroud","Lukas Podolski"
"5286",5286,"2014-04-20","Norwich","Liverpool","John Ruddy","Michael Turner","Russell Martin","Martin Olsson","Steven Whittaker","Leroy Fer","Jonny Howson","Bradley Johnson","Robert Snodgrass","Nathan Redmond","Gary Hooper","Simon Mignolet","Jon Flanagan","Mamadou Sakho","Martin äkrtel","Glen Johnson"," Lucas Leiva","Joe Allen","Steven Gerrard","Philippe Coutinho","Raheem Sterling","Luis Su·rez"
"5287",5287,"2014-04-21","Man City","West Brom","Joe Hart","Martin Demichelis","Pablo Zabaleta","Vincent Kompany"," Javi Garcia","GaÎl Clichy"," David Silva"," Fernandinho","Samir Nasri","Sergio Ag¸ero","Edin Dûeko","Ben Foster","Craig Dawson","Billy Jones","Jonas Olsson","Liam Ridgewell","Morgan Amalfitano","Chris Brunt","Youssef Mulumbu","Graeme Dorrans","Stephane Sessegnon","Matej Vydra"
"5288",5288,"2014-04-26","Fulham","Hull","David Stockdale","Fernando Amorebieta","Johnny Heitinga","John Arne Riise","Brede Hangeland","Sascha Riether","Mahamadou Diarra","Scott Parker","Steve Sidwell","Lewis Holtby","Hugo Rodallega","Steve Harper","James Chester","Curtis Davies","Alex Bruce","Ahmed Elmohamady","Tom Huddlestone","Jake Livermore","David Meyler","Liam Rosenior","Nikica Jelavic","Shane Long"
"5289",5289,"2014-04-26","Man United","Norwich","David De Gea","Nemanja Vidic","Rio Ferdinand","Phil Jones","Antonio Valencia","Patrice Evra","Michael Carrick","Tom Cleverley","Shinji Kagawa","Wayne Rooney","Danny Welbeck","John Ruddy","Michael Turner","Russell Martin","Martin Olsson","Steven Whittaker","Leroy Fer","Jonny Howson","Bradley Johnson","Robert Snodgrass","Nathan Redmond","Ricky Van Wolfswinkel"
"5290",5290,"2014-04-26","Southampton","Everton","Artur Boruc","Nathaniel Clyne","JosÈ Fonte","Dejan Lovren","Luke Shaw","Jack Cork","Steven Davis","Victor Wanyama","Adam Lallana","Rickie Lambert","Sam Gallagher","Tim Howard","Antolin Alcaraz","John Stones","Gareth Barry","Seamus Coleman","Leighton Baines","Ross Barkley","James McCarthy","Steven Naismith","Gerard Deulofeu","Romelu Lukaku"
"5291",5291,"2014-04-26","Stoke","Tottenham","Asmir Begovic","Marc Muniesa","Ryan Shawcross","Geoff Cameron","Marc Wilson","Stephen Ireland","Steven N'Zonzi","Glenn Whelan","Marko Arnautovic","Peter Crouch","Peter Odemwingie","Hugo Lloris","YounËs Kaboul","Michael Dawson","Kyle Naughton","Danny Rose","Nacer Chadli","Christian Eriksen","Aaron Lennon"," Paulinho","Emmanuel Adebayor","Harry Kane"
"5292",5292,"2014-04-26","Swansea","Aston Villa","Michel Vorm","Angel Rangel","Jordi Amat","Ashley Williams","Ben Davies","Leon Britton","Jonathan De Guzman"," Pablo Hern·ndez","Wayne Routledge","Jonjo Shelvey","Wilfried Bony","Brad Guzan","Nathan Baker","Ron Vlaar","Leandro Bacuna","Ryan Bertrand","Ashley R Westwood","Marc Albrighton","Fabian Delph","Karim El Ahmadi","Andi Weimann","Gabby Agbonlahor"
"5293",5293,"2014-04-26","West Brom","West Ham","Ben Foster","Craig Dawson","Billy Jones","Jonas Olsson","Steven Reid","Morgan Amalfitano","Chris Brunt","Youssef Mulumbu","Graeme Dorrans","Stephane Sessegnon","Saido Berahino"," Adri·n","James Tomkins","Winston Reid","Guy Demel","George McCartney","Stewart Downing","Matt Jarvis","Mark Noble","Kevin Nolan","Mo DiamÈ","Andy Carroll"
"5294",5294,"2014-04-27","Crystal Palace","Man City","Juli·n Speroni","Joel Ward","Scott Dann","Adrian Mariappa","Damien Delaney","Mile Jedinak","Joe Ledley","Jason Puncheon","Yannick Bolasie","Marouane Chamakh","Cameron Jerome","Joe Hart","Martin Demichelis","Aleksandar Kolarov","Pablo Zabaleta","Vincent Kompany"," Javi Garcia","James Milner","Samir Nasri","Yaya TourÈ","Sergio Ag¸ero","Edin Dûeko"
"5295",5295,"2014-04-27","Liverpool","Chelsea","Simon Mignolet","Jon Flanagan","Mamadou Sakho","Martin äkrtel","Glen Johnson"," Lucas Leiva","Joe Allen","Steven Gerrard","Philippe Coutinho","Raheem Sterling","Luis Su·rez","Mark Schwarzer","Tom·ö Kalas","CÈsar Azpilicueta","Branislav Ivanovic","Ashley Cole","Frank Lampard","Nemanja Matic","John Obi Mikel","Mohamed Salah","Demba Ba","AndrÈ Sch¸rrle"
"5296",5296,"2014-04-27","Sunderland","Cardiff","Vito Mannone","Wes Brown"," Marcos Alonso","John O'Shea","Santiago Vergini","Jack Colback","Seb Larsson","Lee Cattermole","Adam Johnson","Fabio Borini","Connor Wickham","David Marshall","Steven Caulker"," Juan Cala","KÈvin Theophile-Catherine"," F·bio Da Silva","Gary Medel","Don Cowie","Jordon Mutch","Mats M¯ller DÊhli","Peter Whittingham","Fraizer Campbell"
"5297",5297,"2014-04-28","Arsenal","Newcastle","Wojciech Szczesny","Laurent Koscielny","Nacho Monreal","Bakary Sagna","Per Mertesacker","Mikel Arteta"," Mesut ÷zil","Aaron Ramsey"," Santi Cazorla","Olivier Giroud","Lukas Podolski","Tim Krul","Paul Dummett","Mike Williamson","Vurnon Anita","Fabricio Coloccini","Mathieu Debuchy","Dan Gosling","Cheik TiotÈ","Moussa Sissoko","Yoan Gouffran","LoÔc RÈmy"
"5298",5298,"2014-05-03","Aston Villa","Hull","Brad Guzan","Nathan Baker","Matt Lowton","Ron Vlaar","Ryan Bertrand","Ciaran Clark","Ashley R Westwood","Marc Albrighton","Fabian Delph","Andi Weimann","Gabby Agbonlahor","Steve Harper","James Chester","Maynor Figueroa","Curtis Davies","Ahmed Elmohamady","Tom Huddlestone","Jake Livermore","David Meyler","Liam Rosenior","Nikica Jelavic","Shane Long"
"5299",5299,"2014-05-03","Everton","Man City","Tim Howard","Antolin Alcaraz","John Stones","Seamus Coleman","Phil Jagielka","Leighton Baines","Ross Barkley","James McCarthy","Leon Osman","Steven Naismith","Romelu Lukaku","Joe Hart","Martin Demichelis","Pablo Zabaleta","Vincent Kompany"," Javi Garcia","James Milner","GaÎl Clichy","Samir Nasri","Yaya TourÈ","Sergio Ag¸ero","Edin Dûeko"
"5300",5300,"2014-05-03","Man United","Sunderland","David De Gea","Nemanja Vidic","Rio Ferdinand","Phil Jones","Patrice Evra","Michael Carrick","Darren Fletcher"," Juan Mata"," Nani","Ashley Young","Javier Hern·ndez","Vito Mannone","Wes Brown"," Marcos Alonso","John O'Shea","Santiago Vergini","Jack Colback","Seb Larsson","Lee Cattermole","Adam Johnson","Fabio Borini","Connor Wickham"
"5301",5301,"2014-05-03","Newcastle","Cardiff","Tim Krul","Paul Dummett","Mike Williamson","Vurnon Anita","Fabricio Coloccini","Mathieu Debuchy","Cheik TiotÈ","Moussa Sissoko","Yoan Gouffran","Shola Ameobi","LoÔc RÈmy","David Marshall","Steven Caulker","Ben Turner"," F·bio Da Silva","KIM Bo-Kyung","Aron Gunnarsson","Declan John","Jordon Mutch","Peter Whittingham","Wilfried Zaha","Fraizer Campbell"
"5302",5302,"2014-05-03","Stoke","Fulham","Asmir Begovic","Marc Muniesa","Erik Pieters","Geoff Cameron","Marc Wilson","Oussama Assaidi","Stephen Ireland","Steven N'Zonzi","Glenn Whelan","Marko Arnautovic","Peter Odemwingie","David Stockdale","Dan Burn","Johnny Heitinga","John Arne Riise","Brede Hangeland","Kieran Richardson","Mahamadou Diarra","Scott Parker","Steve Sidwell","Lewis Holtby","Darren Bent"
"5303",5303,"2014-05-03","Swansea","Southampton","Michel Vorm","Jordi Amat","Ashley Williams","Ben Davies","Dwight Tiendalli","Leon Britton","Jonathan De Guzman"," Pablo Hern·ndez","Wayne Routledge","Jonjo Shelvey","Wilfried Bony","Artur Boruc","Nathaniel Clyne","JosÈ Fonte","Dejan Lovren","Luke Shaw","Jack Cork","Morgan Schneiderlin","Steven Davis","Victor Wanyama","Adam Lallana","Sam Gallagher"
"5304",5304,"2014-05-03","West Ham","Tottenham"," Adri·n","James Tomkins","Winston Reid","Guy Demel","Matt Taylor","George McCartney","Stewart Downing","Mark Noble","Kevin Nolan","Mo DiamÈ","Andy Carroll","Hugo Lloris","YounËs Kaboul","Michael Dawson","Kyle Naughton","Danny Rose","Christian Eriksen","Aaron Lennon"," Paulinho","Gylfi Sigursson","Emmanuel Adebayor","Harry Kane"
"5305",5305,"2014-05-04","Arsenal","West Brom","Wojciech Szczesny","Laurent Koscielny","Nacho Monreal","Bakary Sagna","Per Mertesacker","Mikel Arteta","Mathieu Flamini"," Mesut ÷zil"," Santi Cazorla","Olivier Giroud","Lukas Podolski","Ben Foster","Craig Dawson","Diego Lugano","Jonas Olsson","Morgan Amalfitano","Chris Brunt","James Morrison","Youssef Mulumbu","Graeme Dorrans","Stephane Sessegnon","Saido Berahino"
"5306",5306,"2014-05-04","Chelsea","Norwich","Mark Schwarzer","Gary Cahill","John Terry","Branislav Ivanovic","Ashley Cole","Frank Lampard","Nemanja Matic","Mohamed Salah"," Willian","Demba Ba","AndrÈ Sch¸rrle","John Ruddy","Ryan Bennett","Michael Turner","Russell Martin","Martin Olsson","Steven Whittaker","Jonny Howson","Bradley Johnson","Robert Snodgrass","Alex Tettey","Johann Elmander"
"5307",5307,"2014-05-05","Crystal Palace","Liverpool","Juli·n Speroni","Joel Ward","Scott Dann","Adrian Mariappa","Damien Delaney","Mile Jedinak","Kagisho Dikgacoi","Joe Ledley","Jason Puncheon","Yannick Bolasie","Marouane Chamakh","Simon Mignolet","Jon Flanagan","Mamadou Sakho","Martin äkrtel","Glen Johnson"," Lucas Leiva","Joe Allen","Steven Gerrard","Raheem Sterling","Daniel Sturridge","Luis Su·rez"
"5308",5308,"2014-05-06","Man United","Hull","David De Gea","Chris Smalling","Phil Jones","Antonio Valencia","Alexander Buttner","Michael Carrick","Marouane Fellaini","Adnan Januzaj","Shinji Kagawa","Tom Lawrence","James Wilson","Eldin Jakupovic","Maynor Figueroa","Curtis Davies","Alex Bruce","Ahmed Elmohamady","David Meyler","Liam Rosenior","Robert Koren","Stephen Quinn","George Boyd","Shane Long"
"5309",5309,"2014-05-07","Man City","Aston Villa","Joe Hart","Martin Demichelis","Aleksandar Kolarov","Pablo Zabaleta","Vincent Kompany"," Javi Garcia","James Milner"," David Silva","Samir Nasri","Yaya TourÈ","Edin Dûeko","Brad Guzan","Nathan Baker","Matt Lowton","Ron Vlaar","Ryan Bertrand","Ciaran Clark","Ashley R Westwood","Fabian Delph","Karim El Ahmadi","Andi Weimann","Jordan Bowery"
"5310",5310,"2014-05-07","Sunderland","West Brom","Vito Mannone","Wes Brown"," Marcos Alonso","John O'Shea","Santiago Vergini","Jack Colback","Seb Larsson","Lee Cattermole","Adam Johnson","Fabio Borini","Connor Wickham","Ben Foster","Diego Lugano","Gareth McAuley","Steven Reid","Chris Brunt","James Morrison","Claudio Yacob","Graeme Dorrans","Stephane Sessegnon","Victor Anichebe","Saido Berahino"
"5311",5311,"2014-05-11","Cardiff","Chelsea","David Marshall","Steven Caulker","Ben Turner"," F·bio Da Silva","Aron Gunnarsson","Declan John","Jordon Mutch","Mats M¯ller DÊhli","Peter Whittingham","Craig Bellamy","Fraizer Campbell","Mark Schwarzer","Tom·ö Kalas","CÈsar Azpilicueta","Branislav Ivanovic","Ashley Cole","Eden Hazard","Nemanja Matic","John Obi Mikel"," Oscar","Mohamed Salah","Fernando Torres"
"5312",5312,"2014-05-11","Fulham","Crystal Palace","David Stockdale","Fernando Amorebieta","Johnny Heitinga","Elsad Zverotic","Brede Hangeland","Kieran Richardson","Alex Kacaniklic","Scott Parker","Steve Sidwell","Hugo Rodallega","Cauley Woodrow","Wayne Hennessey","Joel Ward","Scott Dann","Adrian Mariappa","Damien Delaney","Mile Jedinak","Tom Ince","Joe Ledley","Yannick Bolasie","Marouane Chamakh","Dwight Gayle"
"5313",5313,"2014-05-11","Hull","Everton","Allan McGregor","Maynor Figueroa","Paul McShane","Curtis Davies","Alex Bruce","Ahmed Elmohamady","Tom Huddlestone","Jake Livermore","Stephen Quinn","Sone Aluko","Nikica Jelavic","Tim Howard","Sylvain Distin","Gareth Barry","Seamus Coleman","Phil Jagielka","Leighton Baines","James McCarthy","Aiden McGeady","Leon Osman","Steven Naismith","Romelu Lukaku"
"5314",5314,"2014-05-11","Liverpool","Newcastle","Simon Mignolet","Jon Flanagan","Daniel Agger","Martin äkrtel","Glen Johnson","Joe Allen","Steven Gerrard","Jordan Henderson","Raheem Sterling","Daniel Sturridge","Luis Su·rez","Tim Krul","Massadio HaÔdara","Steven Taylor","Mike Williamson","Vurnon Anita","Fabricio Coloccini","Mathieu Debuchy","Cheik TiotÈ","Moussa Sissoko","Yoan Gouffran","Shola Ameobi"
"5315",5315,"2014-05-11","Man City","West Ham","Joe Hart","Martin Demichelis","Aleksandar Kolarov","Pablo Zabaleta","Vincent Kompany"," Javi Garcia"," David Silva","Samir Nasri","Yaya TourÈ","Sergio Ag¸ero","Edin Dûeko"," Adri·n","James Tomkins","Winston Reid","Joey O'Brien","Matt Taylor","George McCartney","Stewart Downing","Mark Noble","Kevin Nolan","Mo DiamÈ","Andy Carroll"
"5316",5316,"2014-05-11","Norwich","Arsenal","John Ruddy","Ryan Bennett","Michael Turner","Russell Martin","Martin Olsson","Jonny Howson","Bradley Johnson","Robert Snodgrass","Alex Tettey","Nathan Redmond","Johann Elmander","Lukasz Fabianski","Carl Jenkinson","Laurent Koscielny","Bakary Sagna","Kieran Gibbs","Mikel Arteta"," Mesut ÷zil","Aaron Ramsey","Tomas Rosicky","Olivier Giroud","Lukas Podolski"
"5317",5317,"2014-05-11","Southampton","Man United","Artur Boruc","Nathaniel Clyne","JosÈ Fonte","Dejan Lovren","Luke Shaw","Jack Cork","Morgan Schneiderlin","Steven Davis","Victor Wanyama","Adam Lallana","Rickie Lambert","David De Gea","Chris Smalling","Nemanja Vidic","Rio Ferdinand","Patrice Evra","Darren Fletcher","Adnan Januzaj"," Juan Mata","Shinji Kagawa","Robin Van Persie","Danny Welbeck"
"5318",5318,"2014-05-11","Sunderland","Swansea","Vito Mannone","Phil Bardsley","Wes Brown","John O'Shea","Santiago Vergini","Liam Bridcutt","Jack Colback","Seb Larsson","Adam Johnson","Fabio Borini","Connor Wickham","Gerhard Tremmel","Jordi Amat","Kyle Bartley","Neil Taylor","Dwight Tiendalli","Jay Fulton","Wayne Routledge","Jonjo Shelvey","Nathan Dyer","Marvin Emnes","Wilfried Bony"
"5319",5319,"2014-05-11","Tottenham","Aston Villa","Hugo Lloris","Vlad Chiriche<U+0219>","Michael Dawson","Kyle Naughton","Danny Rose","Christian Eriksen"," Paulinho"," Sandro","Gylfi Sigursson","Emmanuel Adebayor","Harry Kane","Brad Guzan","Nathan Baker","Matt Lowton","Ron Vlaar","Leandro Bacuna","Ryan Bertrand","Ashley R Westwood","Fabian Delph","Andi Weimann","Gabby Agbonlahor","Jordan Bowery"
"5320",5320,"2014-05-11","West Brom","Stoke","Ben Foster","Craig Dawson","Gareth McAuley","Jonas Olsson","Morgan Amalfitano","Chris Brunt","James Morrison","Youssef Mulumbu","Graeme Dorrans","Stephane Sessegnon","Saido Berahino","Thomas Sorensen","Marc Muniesa","Ryan Shawcross","Geoff Cameron","Marc Wilson","Stephen Ireland","Steven N'Zonzi","Glenn Whelan","Jon Walters","Marko Arnautovic","Peter Odemwingie"
"5321",5321,"2014-08-16","Arsenal","Crystal Palace","Wojciech Szczesny","Laurent Koscielny","Calum Chambers","Mathieu Debuchy","Kieran Gibbs","Mikel Arteta","Aaron Ramsey"," Santi Cazorla","Jack Wilshere"," Alexis S·nchez","Yaya Sanogo","Juli·n Speroni","Martin Kelly","Joel Ward","Scott Dann","Brede Hangeland","Mile Jedinak","Joe Ledley","Jason Puncheon","Yannick Bolasie","Fraizer Campbell","Marouane Chamakh"
"5322",5322,"2014-08-16","Leicester","Everton","Kasper Schmeichel","Ritchie De Laet","Paul Konchesky","Liam Moore","Wes Morgan","Danny Drinkwater","Andy King","Anthony Knockaert","Riyad Mahrez","David Nugent","Leonardo Ulloa","Tim Howard","Sylvain Distin","John Stones","Gareth Barry","Phil Jagielka","Leighton Baines","James McCarthy","Aiden McGeady","Steven Pienaar","Steven Naismith","Romelu Lukaku"
"5323",5323,"2014-08-16","Man United","Swansea","David De Gea","Tyler Blackett","Chris Smalling","Phil Jones"," Ander Herrera","Darren Fletcher"," Juan Mata","Jesse Lingard","Ashley Young","Javier Hern·ndez","Wayne Rooney","Lukasz Fabianski","Angel Rangel","Jordi Amat","Ashley Williams","Neil Taylor","Wayne Routledge","Jonjo Shelvey","Gylfi Sigursson","KI Sung-Yueng","Nathan Dyer","Wilfried Bony"
"5324",5324,"2014-08-16","QPR","Hull","Rob Green","Danny Simpson","Steven Caulker","Richard Dunne","Rio Ferdinand","Armand TraorÈ","Joey Barton","Alejandro Faurlin","Jordon Mutch","Charlie Austin","LoÔc RÈmy","Allan McGregor","James Chester","Andy Robertson","Curtis Davies","Alex Bruce","Ahmed Elmohamady","Tom Huddlestone","Jake Livermore","Tom Ince","Robert Snodgrass","Nikica Jelavic"
"5325",5325,"2014-08-16","Stoke","Aston Villa","Asmir Begovic","Phil Bardsley","Erik Pieters","Ryan Shawcross","Marc Wilson","Stephen Ireland","Steven N'Zonzi","Glenn Whelan","Marko Arnautovic","Mame Biram Diouf","Bojan Krkic","Brad Guzan","Aly Cissokho","Alan Hutton","Ron Vlaar","Philippe Senderos","Kieran Richardson","Ashley R Westwood","Fabian Delph","Charles N'Zogbia","Andi Weimann","Gabby Agbonlahor"
"5326",5326,"2014-08-16","West Brom","Sunderland","Ben Foster","Craig Dawson","Jonas Olsson","SÈbastien Pocognoli","Craig Gardner","Andre Wisdom","Chris Brunt","Youssef Mulumbu","Graeme Dorrans","Victor Anichebe","Saido Berahino","Vito Mannone","Wes Brown","John O'Shea","Valentin Roberge","Patrick Van Aanholt","Seb Larsson","Jack Rodwell","Lee Cattermole","Adam Johnson","Steven Fletcher","Connor Wickham"
"5327",5327,"2014-08-16","West Ham","Tottenham"," Adri·n","James M Collins","Winston Reid","Cheikhou KouyatÈ","Joey O'Brien","Aaron Cresswell","Stewart Downing","Mark Noble","Kevin Nolan","Ricardo Vaz Te","Carlton Cole","Hugo Lloris","YounËs Kaboul","Eric Dier","Kyle Naughton","Danny Rose","Nabil Bentaleb","Etienne Capoue","Christian Eriksen","Erik Lamela","Aaron Lennon","Emmanuel Adebayor"
"5328",5328,"2014-08-17","Liverpool","Southampton","Simon Mignolet","Dejan Lovren","Javi Manquillo","Martin äkrtel","Glen Johnson"," Lucas Leiva","Steven Gerrard","Jordan Henderson","Philippe Coutinho","Raheem Sterling","Daniel Sturridge","Fraser Forster","Nathaniel Clyne","JosÈ Fonte","Maya Yoshida","Ryan Bertrand","Morgan Schneiderlin","Steven Davis","Duöan Tadic","Victor Wanyama","James Ward-Prowse","Graziano Pelle"
"5329",5329,"2014-08-17","Newcastle","Man City","Tim Krul","Paul Dummett","Daryl Janmaat","Mike Williamson","Vurnon Anita","Jack Colback","Fabricio Coloccini","Remy Cabella","Moussa Sissoko","Yoan Gouffran","Emmanuel Riviere","Joe Hart","Martin Demichelis","Aleksandar Kolarov","Vincent Kompany","GaÎl Clichy"," David Silva"," Fernando","Samir Nasri","Yaya TourÈ","Edin Dûeko","Stevan Jovetic"
"5330",5330,"2014-08-18","Burnley","Chelsea","Tom Heaton","Ben Mee","Jason Shackell","Michael Duff","Matt Taylor","Kieran Trippier","Scott Arfield","David Jones","Dean Marney","Danny Ings","Lukas Jutkiewicz","Thibaut Courtois","Gary Cahill","John Terry","CÈsar Azpilicueta","Branislav Ivanovic","Cesc F‡bregas","Eden Hazard","Nemanja Matic"," Oscar"," Diego Costa","AndrÈ Sch¸rrle"
"5331",5331,"2014-08-23","Aston Villa","Newcastle","Brad Guzan","Aly Cissokho","Alan Hutton","Ron Vlaar","Philippe Senderos","Kieran Richardson","Ashley R Westwood","Fabian Delph","Charles N'Zogbia","Andi Weimann","Gabby Agbonlahor","Tim Krul","Paul Dummett","Daryl Janmaat","Mike Williamson","Vurnon Anita","Jack Colback","Fabricio Coloccini","Remy Cabella","Moussa Sissoko","Yoan Gouffran","Emmanuel Riviere"
"5332",5332,"2014-08-23","Chelsea","Leicester","Thibaut Courtois","Gary Cahill","John Terry","CÈsar Azpilicueta","Branislav Ivanovic","Cesc F‡bregas","Eden Hazard","Nemanja Matic"," Oscar"," Diego Costa","AndrÈ Sch¸rrle","Kasper Schmeichel","Ritchie De Laet","Paul Konchesky","Liam Moore","Wes Morgan","Jeffrey Schlupp","Dean Hammond","Andy King","Riyad Mahrez","David Nugent","Leonardo Ulloa"
"5333",5333,"2014-08-23","Crystal Palace","West Ham","Juli·n Speroni","Martin Kelly","Joel Ward","Brede Hangeland","Damien Delaney","Mile Jedinak","Barry Bannan","Stuart O'Keefe","Yannick Bolasie","Fraizer Campbell","Marouane Chamakh"," Adri·n","James Tomkins","Winston Reid","Cheikhou KouyatÈ","Joey O'Brien","Aaron Cresswell","Stewart Downing","Mark Noble","Ricardo Vaz Te","Carlton Cole","Mauro Z·rate"
"5334",5334,"2014-08-23","Everton","Arsenal","Tim Howard","Sylvain Distin","Gareth Barry","Seamus Coleman","Phil Jagielka","Leighton Baines","James McCarthy","Steven Pienaar","Kevin Mirallas","Steven Naismith","Romelu Lukaku","Wojciech Szczesny","Nacho Monreal","Per Mertesacker","Calum Chambers","Mathieu Debuchy","Mathieu Flamini"," Mesut ÷zil","Alex Oxlade-Chamberlain","Aaron Ramsey","Jack Wilshere"," Alexis S·nchez"
"5335",5335,"2014-08-23","Southampton","West Brom","Fraser Forster","Nathaniel Clyne","JosÈ Fonte","Maya Yoshida","Ryan Bertrand","Morgan Schneiderlin","Steven Davis","Duöan Tadic","Victor Wanyama","James Ward-Prowse","Graziano Pelle","Ben Foster","Craig Dawson","Jonas Olsson","SÈbastien Pocognoli","Craig Gardner","Andre Wisdom","Chris Brunt","Youssef Mulumbu","Graeme Dorrans","Victor Anichebe","Saido Berahino"
"5336",5336,"2014-08-23","Swansea","Burnley","Lukasz Fabianski","Angel Rangel","Jordi Amat","Ashley Williams","Neil Taylor","Wayne Routledge","Jonjo Shelvey","Gylfi Sigursson","KI Sung-Yueng","Nathan Dyer","Wilfried Bony","Tom Heaton","Ben Mee","Jason Shackell","Michael Duff","Matt Taylor","Kieran Trippier","Scott Arfield","David Jones","Dean Marney","Danny Ings","Lukas Jutkiewicz"
"5337",5337,"2014-08-24","Hull","Stoke","Allan McGregor","James Chester","Paul McShane","Andy Robertson","Curtis Davies","Ahmed Elmohamady","Tom Huddlestone","Jake Livermore","Tom Ince","Stephen Quinn","Nikica Jelavic","Asmir Begovic","Phil Bardsley","Erik Pieters","Ryan Shawcross","Marc Wilson","Steven N'Zonzi","Steve Sidwell","Glenn Whelan","Marko Arnautovic","Mame Biram Diouf","Peter Odemwingie"
"5338",5338,"2014-08-24","Sunderland","Man United","Vito Mannone","Wes Brown","John O'Shea","Patrick Van Aanholt","Santiago Vergini","Seb Larsson","Jack Rodwell","Lee Cattermole","Will Buckley","Steven Fletcher","Connor Wickham","David De Gea","Tyler Blackett","Chris Smalling","Phil Jones","Antonio Valencia","Tom Cleverley","Darren Fletcher"," Juan Mata","Ashley Young","Wayne Rooney","Robin Van Persie"
"5339",5339,"2014-08-24","Tottenham","QPR","Hugo Lloris","YounËs Kaboul","Eric Dier","Danny Rose","Jan Vertonghen","Nabil Bentaleb","Etienne Capoue","Nacer Chadli","Christian Eriksen","Erik Lamela","Emmanuel Adebayor","Rob Green","Steven Caulker","Richard Dunne","Rio Ferdinand","Mauricio Isla","Armand TraorÈ","Joey Barton","Leroy Fer","Jordon Mutch","Matt Phillips","LoÔc RÈmy"
"5340",5340,"2014-08-25","Man City","Liverpool","Joe Hart","Martin Demichelis","Pablo Zabaleta","Vincent Kompany","GaÎl Clichy"," David Silva"," Fernando","Samir Nasri","Yaya TourÈ","Edin Dûeko","Stevan Jovetic","Simon Mignolet","Dejan Lovren","Alberto Moreno","Martin äkrtel","Glen Johnson","Joe Allen","Steven Gerrard","Jordan Henderson","Philippe Coutinho","Raheem Sterling","Daniel Sturridge"
"5341",5341,"2014-08-30","Burnley","Man United","Tom Heaton","Ben Mee","Jason Shackell","Michael Duff","Matt Taylor","Kieran Trippier","Scott Arfield","David Jones","Dean Marney","Danny Ings","Lukas Jutkiewicz","David De Gea","Tyler Blackett","Jonny Evans","Phil Jones","Antonio Valencia","Angel Di Maria","Darren Fletcher"," Juan Mata","Ashley Young","Wayne Rooney","Robin Van Persie"
"5342",5342,"2014-08-30","Everton","Chelsea","Tim Howard","Sylvain Distin","Gareth Barry","Seamus Coleman","Phil Jagielka","Leighton Baines","James McCarthy","Aiden McGeady","Kevin Mirallas","Steven Naismith","Romelu Lukaku","Thibaut Courtois","Gary Cahill","John Terry","CÈsar Azpilicueta","Branislav Ivanovic","Cesc F‡bregas","Eden Hazard","Nemanja Matic"," Ramires"," Willian"," Diego Costa"
