"","X","match_date","hometeam","awayteam","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11"
"1253",1253,"2003-11-08","Bolton","Southampton","Jussi J‰‰skel‰inen","Nicky Hunt","Bruno N'Gotty","Ivan Campo","Simon Charlton","Per Frandsen","Ricardo Gardner","Stelios Giannakopoulos","Kevin Nolan","Jay Jay Okocha","Kevin Davies","Antti Niemi","Jason Dodd","Claus Lundekvam","Michael Svensson","Rory Delap","Graeme Le Saux","Chris Marsden","Anders Svensson","Paul Telfer","James Beattie","Kevin Phillips"
"1254",1254,"2003-11-08","Charlton","Fulham","Dean Kiely","Mark Fish","Hermann Hreidarsson","Chris Perry","Radostin Kishishev","Matt Holland","Claus Jensen","Scott Parker","Graham Stuart","Jonatan Johansson","Kevin Lisbie","Edwin van der Sar","Moritz Volz","JÈrome Bonnissel","Zat Knight","Andy Melville","Lee Clark","Junichi Inamoto","Sylvain Legwinski","Steed Malbranque","Luis Boa Morte","Louis Saha"
"1255",1255,"2003-11-08","Portsmouth","Leeds","Shaka Hislop","Hayden Foxe","Dejan Stefanovic","Arjan De Zeeuw","Sebastian Schemmel","Patrik Berger","Gary O'Neil","Tim Sherwood","Steve Stone","Teddy Sheringham"," Yakubu Ayegbeni","Paul Robinson","Garry Kelly","Michael Duberry"," Roque Junior","Dominic Matteo","James Milner","Salomon Olembe","Seth Johnson","Jody Morris","Jermaine Pennant","Alan Smith"
"1256",1256,"2003-11-08","Wolves","Birmingham","Michael Oakes","Paul Butler","Jody Craddock","Denis Irwin","Lee Naylor","Paul Ince","Alex Rae","Henri Camara","Mark Kennedy","Steffen Iversen","Kenny Miller","Maik Taylor","Kenny Cunningham","Matthew Upson","Jamie Clapham","Stephen Clemence","David Dunn","Bryan Hughes","Damien Johnson","Robbie Savage","Christophe Dugarry","Mikael Forssell"
"1257",1257,"2003-11-09","Chelsea","Newcastle","Carlo Cudicini","William Gallas","John Terry","Glen Johnson","Wayne Bridge","Frank Lampard","Claude Makelele","Juan Sebastian Veron","Damien Duff","Hernan Crespo","Adrian Mutu","Shay Given","Aaron Hughes","Titus Bramble","Andy O'Brien","Gary Speed","Olivier Bernard","Lee Bowyer","Jermaine Jenas","Laurent Robert","Hugo Viana","Shola Ameobi"
"1258",1258,"2003-11-09","Liverpool","Man United","Jerzy Dudek","Steve Finnan","Djimi Traore","Sami Hyypia","Igor Biscan","Steven Gerrard","Danny Murphy","Vladimir Smicer","Harry Kewell","El Hadji Diouf","Emile Heskey","Tim Howard","Gary Neville","John O'Shea","Mikael Silvestre","Rio Ferdinand","Phil Neville","Quinton Fortune","Ryan Giggs","Roy Keane","Diego Forlan","Ruud Van Nistelrooy"
"1259",1259,"2003-11-09","Man City","Leicester","Kevin Stuhr Ellegaard","Sylvain Distin","SUN Ji Hai","Richard Dunne","Joey Barton","Eyal Berkovic","Steve McManaman","Michael Tarnat","Antoine Sibierski","Nicolas Anelka","Paulo Wanchope","Ian Walker","Steve Howey","Riccy Scimeca","Jordan Stewart","Ben Thatcher","Andy Impey","Muzzy Izzet","Billy McKinlay","James Scowcroft","Marcus Bent","Paul Dickov"
"1260",1260,"2003-11-10","Blackburn","Everton","Brad Friedel","Markus Babbel","Brett Emerton","Vratislav Gresko","Lucas Neill","Steven Reid","Andy Todd","Barry Ferguson","Garry Flitcroft","Matt Jansen","Dwight Yorke","Nigel Martyn","Peter Clarke","Tony Hibbert","Kevin Kilbane","Gary Naysmith","Joseph Yobo","Thomas Gravesen","Tobias Linderoth","Alex Nyarko","Kevin Campbell","Tomasz Radzinski"
"1261",1261,"2003-11-22","Birmingham","Arsenal","Maik Taylor","Aliou Cisse","Kenny Cunningham","Matthew Upson","Jamie Clapham","Stephen Clemence","David Dunn","Damien Johnson","Stan Lazaridis","Robbie Savage","Mikael Forssell","Jens Lehmann","Sol Campbell","Pascal Cygan","Kolo Toure","GaÎl Clichy","Ashley Cole"," Edu","Freddie Ljungberg","Robert Pires","Dennis Bergkamp","Thierry Henry"
"1262",1262,"2003-11-22","Everton","Wolves","Nigel Martyn","David Unsworth","Alan Stubbs","Tony Hibbert","Kevin Kilbane","Joseph Yobo","Thomas Gravesen","Tobias Linderoth","James McFadden","Tomasz Radzinski","Wayne Rooney","Michael Oakes","Paul Butler","Jody Craddock","Denis Irwin","Lee Naylor","Paul Ince","Shaun Newton","Alex Rae","Henri Camara","Mark Kennedy","Steffen Iversen"
"1263",1263,"2003-11-22","Leeds","Bolton","Paul Robinson","Zoumana Camara","Michael Duberry","Lucas Radebe","James Milner","Ian Harte","David Batty","Seth Johnson","Jody Morris","Lamine Sakho","Mark Viduka","Jussi J‰‰skel‰inen","Nicky Hunt","Bruno N'Gotty","Ivan Campo","Simon Charlton","Per Frandsen","Ricardo Gardner","Stelios Giannakopoulos","Kevin Nolan","Jay Jay Okocha","Kevin Davies"
"1264",1264,"2003-11-22","Leicester","Charlton","Ian Walker","Steve Howey","Riccy Scimeca","Jordan Stewart","Ben Thatcher","Andy Impey","Muzzy Izzet","Billy McKinlay","James Scowcroft","Marcus Bent","Les Ferdinand","Dean Kiely","Mark Fish","Jonathan Fortune","Hermann Hreidarsson","Chris Perry","Radostin Kishishev","Matt Holland","Graham Stuart","Jason Euell","Paolo Di Canio","Kevin Lisbie"
