"","season","team","name","MV"
"219","20062007","Newcastle","Obafemi Martins",10800000
"220","20062007","Newcastle","Shola Ameobi",5850000
"221","20062007","Newcastle","Giuseppe Rossi",1670000
"222","20062007","Newcastle","Andy Carroll",0
"223","20062007","Aston Villa","Thomas Sörensen",5580000
"224","20062007","Aston Villa","Gábor Király",2480000
"225","20062007","Aston Villa","Stuart Taylor",855000
"226","20062007","Aston Villa","Bobby Olejnik",90000
"227","20062007","Aston Villa","Olof Mellberg",6530000
"228","20062007","Aston Villa","Martin Laursen",3960000
"229","20062007","Aston Villa","Aaron Hughes",2480000
"230","20062007","Aston Villa","Liam Ridgewell",1980000
"231","20062007","Aston Villa","Gary Cahill",315000
"232","20062007","Aston Villa","Wilfred Bouma",4320000
"233","20062007","Aston Villa","Mark Delaney",1530000
"234","20062007","Aston Villa","Phil Bardsley",68000
"235","20062007","Aston Villa","Gareth Barry",3830000
"236","20062007","Aston Villa","Jlloyd Samuel",2700000
"237","20062007","Aston Villa","Eric Djemba-Djemba",1800000
"238","20062007","Aston Villa","Isaiah Osbourne",0
"239","20062007","Aston Villa","Stiliyan Petrov",6620000
"240","20062007","Aston Villa","Gavin McCann",3150000
"241","20062007","Aston Villa","Steven Davis",3150000
"242","20062007","Aston Villa","Peter Whittingham",765000
"243","20062007","Aston Villa","Craig Gardner",90000
"244","20062007","Aston Villa","Didier Agathé",1350000
"245","20062007","Aston Villa","Lee Hendrie",1980000
"246","20062007","Aston Villa","Ashley Young",1350000
"247","20062007","Aston Villa","Patrik Berger",2700000
"248","20062007","Aston Villa","Shaun Maloney",2700000
"249","20062007","Aston Villa","Milan Baros",8100000
"250","20062007","Aston Villa","John Carew",6750000
"251","20062007","Aston Villa","Juan Pablo Ángel",5850000
"252","20062007","Aston Villa","Kevin Phillips",3150000
"253","20062007","Aston Villa","Chris Sutton",2970000
"254","20062007","Aston Villa","Luke Moore",1800000
"255","20062007","Aston Villa","Gabriel Agbonlahor",90000
"256","20062007","Aston Villa","Sam Williams",0
"257","20062007","West Ham","Robert Green",4500000
"258","20062007","West Ham","Roy Carroll",2430000
"259","20062007","West Ham","Jimmy Walker",540000
"260","20062007","West Ham","Javier Mascherano",10620000
"261","20062007","West Ham","Matthew Upson",5180000
"262","20062007","West Ham","Anton Ferdinand",3150000
"263","20062007","West Ham","Lucas Neill",2700000
"264","20062007","West Ham","Christian Dailly",1800000
"265","20062007","West Ham","Calum Davenport",1350000
"266","20062007","West Ham","Danny Gabbidon",9e+05
"267","20062007","West Ham","James Collins",450000
"268","20062007","West Ham","Paul Konchesky",3600000
"269","20062007","West Ham","George McCartney",450000
"270","20062007","West Ham","Jonathan Spector",1130000
"271","20062007","West Ham","John Paintsil",675000
"272","20062007","West Ham","Tyrone Mears",360000
"273","20062007","West Ham","Nigel Reo-Coker",3150000
"274","20062007","West Ham","Hayden Mullins",630000
"275","20062007","West Ham","Lee Bowyer",3490000
"276","20062007","West Ham","Nigel Quashie",1800000
"277","20062007","West Ham","Mark Noble",720000
"278","20062007","West Ham","Tony Stokes",45000
"279","20062007","West Ham","Shaun Newton",450000
"280","20062007","West Ham","Luís Boa Morte",3150000
"281","20062007","West Ham","Matthew Etherington",2700000
"282","20062007","West Ham","Hogan Ephraim",90000
"283","20062007","West Ham","Kyel Reid",45000
"284","20062007","West Ham","Yossi Benayoun",4050000
"285","20062007","West Ham","Carlos Tévez",13500000
"286","20062007","West Ham","Dean Ashton",9e+06
"287","20062007","West Ham","Marlon Harewood",4950000
"288","20062007","West Ham","Bobby Zamora",3150000
"289","20062007","West Ham","Carlton Cole",2700000
