"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTGS","ATGS","HTGC","ATGC","HTP","ATP","HM1","HM2","HM3","HM4","HM5","AM1","AM2","AM3","AM4","AM5","HomeTeamLP","AwayTeamLP","MW","HTWinStreak3","HTWinStreak5","HTLossStreak3","HTLossStreak5","ATWinStreak3","ATWinStreak5","ATLossStreak3","ATLossStreak5","HTGD","ATGD","DiffPts","DiffFormPts","DiffLP"
"70",2000-09-30,"AstonVilla","Derby",4,1,"H",7,12,6,14,1.28571428571429,0.571428571428571,"1","4","7","7","8","0","1","2","3","3",6,16,7,0,0,0,0,0,0,0,0,0.142857142857143,-0.285714285714286,0.714285714285714,0.714285714285714,-10
"71",2000-09-30,"Charlton","Coventry",2,2,"D",12,6,11,12,1.375,0.875,"3","6","7","8","8","0","0","1","1","4",18,14,8,0,0,0,0,0,0,0,0,0.125,-0.75,0.5,0.5,4
"72",2000-09-30,"Everton","Ipswich",0,3,"A",11,8,12,10,1,1,"1","1","4","4","5","1","4","4","4","7",13,18,8,0,0,0,0,0,0,0,0,-0.125,-0.25,0,-0.25,-5
"73",2000-09-30,"Leeds","Tottenham",4,3,"H",11,8,9,7,1.375,1.375,"3","4","4","5","5","1","1","4","7","7",3,10,8,0,0,0,0,0,0,0,0,0.25,0.125,0,-0.25,-7
"74",2000-09-30,"ManCity","Newcastle",0,1,"A",10,7,13,7,1,1.25,"1","2","2","5","5","0","0","1","4","7",18,11,8,0,0,0,0,0,0,0,0,-0.375,0,-0.25,-0.25,7
"75",2000-09-30,"Southampton","Middlesbrough",1,3,"A",10,11,9,11,1.125,0.875,"3","6","6","7","8","1","2","2","3","3",15,12,8,0,0,0,0,0,0,0,0,0.125,0,0.25,0.625,3
"76",2000-09-30,"WestHam","Bradford",1,1,"D",9,3,10,11,0.75,0.625,"3","4","4","5","6","0","0","1","1","2",9,17,8,0,0,0,0,0,0,0,0,-0.125,-1,0.125,0.5,-8
"77",2000-10-01,"Arsenal","ManUnited",1,0,"H",13,20,9,7,1.5,1.875,"1","4","5","6","9","1","4","7","10","11",2,1,8,0,0,0,0,0,0,0,0,0.5,1.625,-0.375,0.25,1
"78",2000-10-01,"Chelsea","Liverpool",3,0,"H",10,12,12,10,0.875,1.5,"1","1","2","3","4","1","2","5","8","9",5,4,8,0,0,0,0,0,0,0,0,-0.25,0.25,-0.625,-0.625,1
"79",2000-10-01,"Sunderland","Leicester",0,0,"D",7,7,11,2,1,1.875,"1","4","4","5","5","1","4","7","10","11",7,8,8,0,0,0,0,0,0,0,0,-0.5,0.625,-0.875,-0.25,-1
