"","match_date","FTR","IWH","IWD","IWA","hg1_score","hd1_score","hd2_score","hd3_score","hd4_score","hd5_score","hd6_score","hd7_score","hm1_score","hm2_score","hm3_score","hm4_score","hm5_score","hm6_score","hm7_score","hf1_score","hf2_score","hf3_score","hf4_score","ag1_score","ad1_score","ad2_score","ad3_score","ad4_score","ad5_score","ad6_score","ad7_score","am1_score","am2_score","am3_score","am4_score","am5_score","am6_score","am7_score","af1_score","af2_score","af3_score","af4_score","af5_score","ad8_score","hd8_score","FTR_H","FTR_A","FTR_D"
"1589","2008-10-20","D","2.5","3.2","2.5",83,67,74,77,81,0,0,0,73,76,74,76,0,0,0,71,82,0,0,78,76,82,80,79,73,0,0,72,75,81,0,0,0,0,81,85,0,0,0,0,0,0,0,1
"1590","2008-10-25","D","1.9","3.2","3.6",78,70,76,74,77,58,77,0,72,68,0,0,0,0,0,74,83,0,0,70,72,69,71,77,0,0,0,72,81,74,83,0,0,0,73,78,0,0,0,0,0,0,0,1
"1591","2008-10-25","D","5.5","3.5","1.55",82,82,78,76,80,0,0,0,82,75,75,77,0,0,0,80,84,0,0,85,80,86,87,84,0,0,0,76,82,63,91,0,0,0,86,87,0,0,0,0,0,0,0,1
"1592","2008-10-25","H","2.1","3.1","3.2",67,76,71,76,76,71,0,0,75,72,0,0,0,0,0,78,78,68,0,83,67,74,77,81,0,0,0,73,76,74,76,0,0,0,71,82,0,0,0,0,0,1,0,0
"1593","2008-10-25","A","2.2","3.1","3",77,70,68,69,70,0,0,0,69,73,68,74,0,0,0,70,68,0,0,73,70,69,69,67,0,0,0,67,74,75,65,0,0,0,76,74,0,0,0,0,0,0,1,0
"1594","2008-10-26","A","1.9","3.2","3.6",88,85,88,82,83,0,0,0,85,86,81,0,0,0,0,83,79,83,0,84,77,82,76,85,0,0,0,88,85,79,82,80,0,0,83,0,0,0,0,0,0,0,1,0
"1595","2008-10-26","H","1.45","3.7","6.5",78,76,82,80,79,73,0,0,83,75,81,0,0,0,0,58,85,0,0,73,74,67,72,71,69,0,0,65,67,68,0,0,0,0,74,67,0,0,0,0,0,1,0,0
"1596","2008-10-26","D","1.75","3.3","4.2",83,72,78,74,69,73,0,0,81,75,67,0,0,0,0,76,81,0,0,75,72,72,79,67,0,0,0,78,75,75,74,0,0,0,80,73,0,0,0,0,0,0,0,1
"1597","2008-10-26","H","1.8","3.2","4",82,71,81,78,77,81,0,0,82,79,82,71,0,0,0,81,0,0,0,78,69,75,75,71,74,0,0,72,76,79,0,0,0,0,75,78,0,0,0,0,0,1,0,0
"1598","2008-10-26","A","4.5","3.5","1.65",80,75,70,79,75,71,0,0,75,80,0,0,0,0,0,78,72,72,0,79,78,84,76,83,0,0,0,88,82,72,79,0,0,0,77,85,0,0,0,0,0,0,1,0
"1599","2008-10-26","A","2.5","3","2.7",77,69,74,73,67,0,0,0,69,68,74,75,0,0,0,77,71,0,0,80,81,74,79,84,80,83,75,77,77,0,0,0,0,0,81,0,0,0,0,0,0,0,1,0
"1600","2008-10-28","H","1.9","3.2","3.6",83,74,77,81,76,73,0,0,75,74,76,0,0,0,0,71,82,0,0,77,70,68,69,70,0,0,0,70,69,73,68,74,0,0,70,0,0,0,0,0,0,1,0,0
"1601","2008-10-29","D","1.45","3.7","6.5",79,84,82,76,83,0,0,0,76,88,82,79,0,0,0,86,85,0,0,82,71,81,78,80,77,77,0,82,79,82,0,0,0,0,81,0,0,0,0,0,0,0,0,1
"1602","2008-10-29","H","1.75","3.3","4.2",80,81,74,79,84,80,83,75,77,77,0,0,0,0,0,81,0,0,0,78,70,76,74,77,77,77,0,65,80,68,0,0,0,0,79,0,0,0,0,0,0,1,0,0
"1603","2008-10-29","A","2.3","3","2.9",78,69,75,75,71,74,0,0,76,79,0,0,0,0,0,75,78,70,0,82,82,78,76,80,0,0,0,82,75,75,77,0,0,0,80,84,0,0,0,0,0,0,1,0
"1604","2008-10-29","H","2.2","3","3.1",75,72,72,79,67,0,0,0,78,75,75,74,0,0,0,80,73,0,0,77,75,69,74,67,72,78,0,69,75,0,0,0,0,0,77,71,0,0,0,0,0,1,0,0
"1605","2008-10-29","A","6","3.6","1.5",73,70,69,69,67,0,0,0,67,74,75,65,0,0,0,76,74,0,0,88,85,88,82,83,0,0,0,84,85,86,81,0,0,0,83,83,0,0,0,0,0,0,1,0
"1606","2008-10-29","H","1.35","4.2","7.5",84,77,77,76,85,76,0,0,88,76,82,80,0,0,0,81,0,0,0,83,72,78,74,69,73,0,0,73,81,75,78,0,0,0,76,0,0,0,0,0,0,1,0,0
