"","match_date","hometeam","awayteam","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11"
"5334","2014-08-23","Everton","Arsenal","Tim Howard","Sylvain Distin","Gareth Barry","Seamus Coleman","Phil Jagielka","Leighton Baines","James McCarthy","Steven Pienaar","Kevin Mirallas","Steven Naismith","Romelu Lukaku","Wojciech Szczesny","Nacho Monreal","Per Mertesacker","Calum Chambers","Mathieu Debuchy","Mathieu Flamini"," Mesut ÷zil","Alex Oxlade-Chamberlain","Aaron Ramsey","Jack Wilshere"," Alexis S·nchez"
"5335","2014-08-23","Southampton","West Bromwich Albion","Fraser Forster","Nathaniel Clyne","JosÈ Fonte","Maya Yoshida","Ryan Bertrand","Morgan Schneiderlin","Steven Davis","Duöan Tadic","Victor Wanyama","James Ward-Prowse","Graziano Pelle","Ben Foster","Craig Dawson","Jonas Olsson","SÈbastien Pocognoli","Craig Gardner","Andre Wisdom","Chris Brunt","Youssef Mulumbu","Graeme Dorrans","Victor Anichebe","Saido Berahino"
"5336","2014-08-23","Swansea City","Burnley","Lukasz Fabianski","Angel Rangel","Jordi Amat","Ashley Williams","Neil Taylor","Wayne Routledge","Jonjo Shelvey","Gylfi Sigursson","KI Sung-Yueng","Nathan Dyer","Wilfried Bony","Tom Heaton","Ben Mee","Jason Shackell","Michael Duff","Matt Taylor","Kieran Trippier","Scott Arfield","David Jones","Dean Marney","Danny Ings","Lukas Jutkiewicz"
"5337","2014-08-24","Hull City","Stoke City","Allan McGregor","James Chester","Paul McShane","Andy Robertson","Curtis Davies","Ahmed Elmohamady","Tom Huddlestone","Jake Livermore","Tom Ince","Stephen Quinn","Nikica Jelavic","Asmir Begovic","Phil Bardsley","Erik Pieters","Ryan Shawcross","Marc Wilson","Steven N'Zonzi","Steve Sidwell","Glenn Whelan","Marko Arnautovic","Mame Biram Diouf","Peter Odemwingie"
"5338","2014-08-24","Sunderland","Manchester United","Vito Mannone","Wes Brown","John O'Shea","Patrick Van Aanholt","Santiago Vergini","Seb Larsson","Jack Rodwell","Lee Cattermole","Will Buckley","Steven Fletcher","Connor Wickham","David De Gea","Tyler Blackett","Chris Smalling","Phil Jones","Antonio Valencia","Tom Cleverley","Darren Fletcher"," Juan Mata","Ashley Young","Wayne Rooney","Robin Van Persie"
"5339","2014-08-24","Tottenham Hotspur","Queens Park Rangers","Hugo Lloris","YounËs Kaboul","Eric Dier","Danny Rose","Jan Vertonghen","Nabil Bentaleb","Etienne Capoue","Nacer Chadli","Christian Eriksen","Erik Lamela","Emmanuel Adebayor","Rob Green","Steven Caulker","Richard Dunne","Rio Ferdinand","Mauricio Isla","Armand TraorÈ","Joey Barton","Leroy Fer","Jordon Mutch","Matt Phillips","LoÔc RÈmy"
"5340","2014-08-25","Manchester City","Liverpool","Joe Hart","Martin Demichelis","Pablo Zabaleta","Vincent Kompany","GaÎl Clichy"," David Silva"," Fernando","Samir Nasri","Yaya TourÈ","Edin Dûeko","Stevan Jovetic","Simon Mignolet","Dejan Lovren","Alberto Moreno","Martin äkrtel","Glen Johnson","Joe Allen","Steven Gerrard","Jordan Henderson","Philippe Coutinho","Raheem Sterling","Daniel Sturridge"
"5341","2014-08-30","Burnley","Manchester United","Tom Heaton","Ben Mee","Jason Shackell","Michael Duff","Matt Taylor","Kieran Trippier","Scott Arfield","David Jones","Dean Marney","Danny Ings","Lukas Jutkiewicz","David De Gea","Tyler Blackett","Jonny Evans","Phil Jones","Antonio Valencia","Angel Di Maria","Darren Fletcher"," Juan Mata","Ashley Young","Wayne Rooney","Robin Van Persie"
"5342","2014-08-30","Everton","Chelsea","Tim Howard","Sylvain Distin","Gareth Barry","Seamus Coleman","Phil Jagielka","Leighton Baines","James McCarthy","Aiden McGeady","Kevin Mirallas","Steven Naismith","Romelu Lukaku","Thibaut Courtois","Gary Cahill","John Terry","CÈsar Azpilicueta","Branislav Ivanovic","Cesc F‡bregas","Eden Hazard","Nemanja Matic"," Ramires"," Willian"," Diego Costa"
"5343","2014-08-30","Manchester City","Stoke City","Joe Hart","Martin Demichelis","Aleksandar Kolarov","Bakary Sagna","Vincent Kompany"," David Silva"," Fernando","Samir Nasri","Yaya TourÈ","Sergio Ag¸ero","Stevan Jovetic","Asmir Begovic","Phil Bardsley","Erik Pieters","Ryan Shawcross","Marc Wilson","Steven N'Zonzi","Glenn Whelan","Victor Moses","Jon Walters","Peter Crouch","Mame Biram Diouf"
"5344","2014-08-30","Newcastle United","Crystal Palace","Tim Krul","Massadio HaÔdara","Daryl Janmaat","Mike Williamson","Jack Colback","Fabricio Coloccini","Remy Cabella","Siem De Jong","Moussa Sissoko","Yoan Gouffran","Emmanuel Riviere","Juli·n Speroni","Martin Kelly","Joel Ward","Scott Dann","Adrian Mariappa","Damien Delaney","Mile Jedinak","Jason Puncheon","Yannick Bolasie","Marouane Chamakh","Dwight Gayle"
"5345","2014-08-30","Queens Park Rangers","Sunderland","Rob Green","Steven Caulker","Clint Hill","Rio Ferdinand","Mauricio Isla","Joey Barton","Leroy Fer","Jordon Mutch","Junior Hoilett","Matt Phillips","Charlie Austin","Vito Mannone","Wes Brown","John O'Shea","Patrick Van Aanholt","Santiago Vergini","Seb Larsson","Jack Rodwell","Lee Cattermole","Adam Johnson","Steven Fletcher","Connor Wickham"
"5346","2014-08-30","Swansea City","West Bromwich Albion","Lukasz Fabianski","Angel Rangel","Jordi Amat","Ashley Williams","Neil Taylor","Wayne Routledge","Jonjo Shelvey","Gylfi Sigursson","KI Sung-Yueng","Nathan Dyer","Wilfried Bony","Ben Foster","Jason Davidson","Craig Dawson","Jonas Olsson","Craig Gardner","Andre Wisdom","Chris Brunt","Youssef Mulumbu","Graeme Dorrans","Saido Berahino","Brown Ideye"
"5347","2014-08-30","West Ham United","Southampton"," Adri·n","James Tomkins","Winston Reid","Cheikhou KouyatÈ","Joey O'Brien","Aaron Cresswell","Stewart Downing","Mark Noble","Ricardo Vaz Te","Carlton Cole","Mauro Z·rate","Fraser Forster","Nathaniel Clyne","JosÈ Fonte","Maya Yoshida","Ryan Bertrand","Morgan Schneiderlin","Steven Davis","Duöan Tadic","James Ward-Prowse","Shane Long","Graziano Pelle"
"5348","2014-08-31","Aston Villa","Hull City","Brad Guzan","Aly Cissokho","Alan Hutton","Ron Vlaar","Philippe Senderos","Kieran Richardson","Ashley R Westwood","Fabian Delph","Charles N'Zogbia","Andi Weimann","Gabby Agbonlahor","Allan McGregor","Paul McShane","Andy Robertson","Curtis Davies","Michael Dawson","Ahmed Elmohamady","Tom Huddlestone","Jake Livermore","Tom Ince","Stephen Quinn","Nikica Jelavic"
"5349","2014-08-31","Leicester City","Arsenal","Kasper Schmeichel","Ritchie De Laet","Paul Konchesky","Liam Moore","Wes Morgan","Jeffrey Schlupp","Dean Hammond","Andy King","Riyad Mahrez","David Nugent","Leonardo Ulloa","Wojciech Szczesny","Laurent Koscielny","Nacho Monreal","Per Mertesacker","Mathieu Debuchy","Mathieu Flamini"," Mesut ÷zil","Aaron Ramsey"," Santi Cazorla"," Alexis S·nchez","Yaya Sanogo"
