"","name","MV","season"
"374","Ousmane Dabo",3780000,"20062007"
"375","Dietmar Hamann",3600000,"20062007"
"376","Michael Johnson",0,"20062007"
"377","Joey Barton",5400000,"20062007"
"378","Claudio Reyna",3240000,"20062007"
"379","Stephen Ireland",2160000,"20062007"
"380","Georgios Samaras",7200000,"20062007"
"381","Trevor Sinclair",4050000,"20062007"
"382","Djamel Abdoun",90000,"20062007"
"383","Darius Vassell",4230000,"20062007"
"384","Bernardo Corradi",3600000,"20062007"
"385","Emile Mpenza",2250000,"20062007"
"386","Paul Dickov",1350000,"20062007"
"387","Ishmael Miller",45000,"20062007"
"388","Daniel Sturridge",0,"20062007"
"389","David James",3240000,"20062007"
"390","Dean Kiely",1080000,"20062007"
"391","Jamie Ashdown",630000,"20062007"
"392","Sol Campbell",9e+06,"20062007"
"393","Andrew O'Brien",2700000,"20062007"
"394","Djimi Traoré",2250000,"20062007"
"395","Noé Pamarot",1980000,"20062007"
"396","Dejan Stefanovic",1800000,"20062007"
"397","Linvoy Primus",1580000,"20062007"
"398","Lau",5850000,"20062007"
"399","Glen Johnson",3600000,"20062007"
"400","Andy Griffin",1980000,"20062007"
"401","Sean Davis",2700000,"20062007"
"402","Pedro Mendes",2700000,"20062007"
"403","Arnold Mvuemba",1080000,"20062007"
"404","Richard Hughes",9e+05,"20062007"
"405","Manuel Fernandes",5400000,"20062007"
"406","Gary O'Neil",1800000,"20062007"
"407","David Thompson",2480000,"20062007"
"408","Matthew Taylor",1440000,"20062007"
"409","Niko Kranjcar",4500000,"20062007"
"410","Dou",3600000,"20062007"
"411","Ognjen Koroman",2480000,"20062007"
"412","Franck Songo'o",360000,"20062007"
"413","Lomana LuaLua",4950000,"20062007"
"414","Ben",3830000,"20062007"
"415","Andrew Cole",3600000,"20062007"
"416","Nwankwo Kanu",2700000,"20062007"
"417","Svetoslav Todorov",1800000,"20062007"
"418","Daryl Fordyce",0,"20062007"
"419","Antti Niemi",4050000,"20062007"
"420","Jan Lastuvka",2250000,"20062007"
"421","Ricardo Batista",9e+05,"20062007"
"422","Mark Crossley",450000,"20062007"
"423","Tony Warner",450000,"20062007"
"424","Zat Knight",2970000,"20062007"
"425","Carlos Bocanegra",2250000,"20062007"
"426","Ian Pearce",1350000,"20062007"
"427","Philippe Christanval",9e+05,"20062007"
"428","Gabriel Zakuani",0,"20062007"
"429","Franck Queudrue",4050000,"20062007"
"430","Niclas Jensen",1260000,"20062007"
"431","Matthew Briggs",0,"20062007"
"432","Moritz Volz",2520000,"20062007"
"433","Liam Rosenior",1350000,"20062007"
"434","Elliot Omozusi",0,"20062007"
"435","Aleksey Smertin",5850000,"20062007"
"436","Papa Diop",4950000,"20062007"
"437","Simon Elliott",720000,"20062007"
"438","Jimmy Bullard",4050000,"20062007"
"439","Michael Brown",2700000,"20062007"
"440","Michael Timlin",113000,"20062007"
"441","Matthew Collins",0,"20062007"
"442","Rob Milsom",0,"20062007"
"443","Simon Davies",3330000,"20062007"
"444","Ahmad Elrich",675000,"20062007"
"445","Luís Morte",3150000,"20062007"
"446","Mark Pembridge",9e+05,"20062007"
"447","Claus Jensen",4050000,"20062007"
"448","Wayne Routledge",2520000,"20062007"
"449","Clint Dempsey",9e+05,"20062007"
"450","Vincenzo Montella",6300000,"20062007"
"451","Tomasz Radzinski",2700000,"20062007"
"452","Björn Runström",2030000,"20062007"
"453","Collins John",2030000,"20062007"
"454","Brian McBride",1350000,"20062007"
"455","Heidar Helguson",1080000,"20062007"
"456","Thomas Myhre",1580000,"20062007"
"457","Scott Carson",1580000,"20062007"
"458","Stephan Andersen",9e+05,"20062007"
"459","Rob Elliot",68000,"20062007"
"460","Darren Randolph",0,"20062007"
"461","Souleymane Diawara",3600000,"20062007"
"462","Hermann Hreidarsson",2700000,"20062007"
"463","Djimi Traoré",2250000,"20062007"
"464","Gonzalo Sorondo",2250000,"20062007"
"465","Talal Karkouri",1800000,"20062007"
"466","Cory Gibbs",1580000,"20062007"
"467","Jonathan Fortune",9e+05,"20062007"
"468","Madjid Bougherra",90000,"20062007"
"469","Ben Thatcher",3830000,"20062007"
