"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTGS","ATGS","HTGC","ATGC","HTP","ATP","HTS","ATS","HTST","ATST","home_start_mv","away_start_mv","HomeTeamLP","AwayTeamLP","HomeAvgAge","AwayAvgAge","HomeAvgMV","AwayAvgMV","MW","HM1","AM1","HM2","AM2","HM3","AM3","HM4","AM4","HM5","AM5","HM10","AM10","HM20","AM20","HMH1","AMA1","Distance","HTGD","ATGD","DiffPts","DiffLP"
"2330","2006-09-23","Arsenal","SheffieldUnited","3","0","H","3","1","3","4",0.4,0.4,14,6.8,7.2,3.2,103914000,9996000,4,18,22.8,25.1,5.69,0.66,5,0,1,1,1,1,1,2,2,0,0,0,0,0,0,1,0,222,0,-0.6,0,-14
"2331","2006-09-23","AstonVilla","Charlton","2","0","H","6","4","3","9",1.5,0.5,7.33333333333333,7,4.33333333333333,2.66666666666667,22924000,31101000,16,13,24.8,24.7,2.73,1.87,6,1,0,2,0,5,0,8,3,9,3,0,0,0,0,3,0,174,0.5,-0.833333333333333,1,3
"2332","2006-09-23","Fulham","Chelsea","0","2","A","5","9","7","3",1.16666666666667,2,8.16666666666667,9.16666666666667,4.16666666666667,4.33333333333333,30740000,214382000,12,1,26.3,23.2,2.05,9.82,6,1,3,4,6,4,9,7,9,7,12,0,0,0,0,3,3,2,-0.333333333333333,1,-0.833333333333333,11
"2333","2006-09-23","Liverpool","Tottenham","3","0","H","5","2","6","5",1.16666666666667,0.666666666666667,13.8333333333333,11.5,6.16666666666667,6.16666666666667,111602000,80641000,3,5,23.6,23.1,5.89,4.06,6,3,1,3,1,6,1,6,4,7,4,0,0,0,0,3,0,283,-0.166666666666667,-0.5,0.5,-2
"2334","2006-09-23","ManCity","WestHam","2","0","H","3","6","8","7",0.666666666666667,0.833333333333333,8.5,8.16666666666667,4,3.33333333333333,38205000,40500000,15,9,24.4,25.1,2.72,2.55,6,0,0,0,1,3,1,4,2,4,5,0,0,0,0,3,0,262,-0.833333333333333,-0.166666666666667,-0.166666666666667,6
"2335","2006-09-23","Middlesbrough","Blackburn","0","1","A","5","5","9","8",0.833333333333333,0.833333333333333,8.33333333333333,9,3.83333333333333,3.5,33402000,33031000,14,6,23.2,26.6,2.49,2.25,6,0,3,1,4,2,4,5,5,5,5,0,0,0,0,0,1,126,-0.666666666666667,-0.5,0,8
"2336","2006-09-23","Reading","ManUnited","1","1","D","7","11","6","3",1.5,2,7.33333333333333,13.6666666666667,4,7,7922000,130461000,18,2,24,24.2,0.622,6.24,6,3,0,6,3,6,6,6,9,9,12,0,0,0,0,3,3,244,0.166666666666667,1.33333333333333,-0.5,16
"2337","2006-09-23","Wigan","Watford","1","1","D","5","3","6","6",0.666666666666667,0.333333333333333,9.66666666666667,9.66666666666667,5,5,34971000,10445000,10,18,26,23.1,1.67,0.412,6,1,1,1,1,4,1,4,2,4,2,0,0,0,0,3,0,260,-0.166666666666667,-0.5,0.333333333333333,-8
"2338","2006-09-24","Newcastle","Everton","1","1","D","5","10","7","4",0.5,1.83333333333333,9.83333333333333,7.33333333333333,5.83333333333333,3.83333333333333,46891000,41641000,7,11,25,25,4.66,3.31,6,0,1,0,4,0,7,0,8,3,11,0,0,0,0,0,3,192,-0.333333333333333,1,-1.33333333333333,-4
"2339","2006-09-25","Portsmouth","Bolton","0","1","A","9","4","0","3",2.16666666666667,1.16666666666667,9.16666666666667,6.5,6,2.33333333333333,32951000,23865000,17,8,26.4,24.6,2.71,1.65,6,0,0,6,1,9,4,10,4,13,7,0,0,0,0,3,0,326,1.5,0.166666666666667,1,9
"2340","2006-09-30","Bolton","Liverpool","2","0","H","4","5","3","6",1.16666666666667,1.16666666666667,6.5,13.8333333333333,2.33333333333333,6.16666666666667,23865000,124881000,8,3,24.6,23.6,1.65,5.89,6,0,3,1,3,4,6,4,6,7,7,0,0,0,0,1,0,33,0.166666666666667,-0.166666666666667,0,5
"2341","2006-09-30","Charlton","Arsenal","1","2","A","4","8","11","4",0.428571428571429,1.14285714285714,7.14285714285714,15,2.71428571428571,8.42857142857143,31281000,105763000,13,4,24.7,22.8,1.87,5.69,7,0,0,0,6,0,6,0,7,3,7,0,0,0,0,0,3,13,-1,0.571428571428571,-0.714285714285714,9
"2342","2006-09-30","Chelsea","AstonVilla","1","1","D","11","8","3","3",2.14285714285714,1.71428571428571,9.71428571428571,8,4.42857142857143,4.42857142857143,229682000,22924000,1,16,23.2,24.8,9.82,2.73,7,3,3,6,4,9,5,12,8,12,11,0,0,0,0,3,1,163,1.14285714285714,0.714285714285714,0.428571428571429,-15
"2343","2006-09-30","Everton","ManCity","1","1","D","11","5","5","8",1.71428571428571,1,8,9.71428571428571,4,4.57142857142857,47001000,36765000,11,15,25,24.4,3.31,2.72,7,1,3,2,3,5,3,8,6,9,7,0,0,0,0,1,0,51,0.857142857142857,-0.428571428571429,0.714285714285714,-4
"2344","2006-09-30","SheffieldUnited","Middlesbrough","2","1","H","2","5","9","10",0.285714285714286,0.714285714285714,7.57142857142857,9,3.85714285714286,4.28571428571429,8223000,32052000,18,14,25.1,23.2,0.66,2.49,7,0,0,0,0,1,1,1,2,1,5,0,0,0,0,0,1,135,-1,-0.714285714285714,-0.428571428571429,4
"2345","2006-10-01","Blackburn","Wigan","2","1","H","6","6","8","8",1.14285714285714,0.714285714285714,9.57142857142857,9.85714285714286,4,5.14285714285714,29971000,31281000,6,10,26.6,26,2.25,1.67,7,3,1,6,2,7,2,7,5,8,5,0,0,0,0,3,1,23,-0.285714285714286,-0.285714285714286,0.428571428571429,-4
"2346","2006-10-01","ManUnited","Newcastle","2","0","H","12","6","4","8",1.85714285714286,0.571428571428571,14.2857142857143,11.4285714285714,7.14285714285714,6.85714285714286,126771000,47431000,2,7,24.2,25,6.24,4.66,7,1,1,1,1,4,1,7,1,10,1,0,0,0,0,0,0,174,1.14285714285714,-0.285714285714286,1.28571428571429,-5
"2347","2006-10-01","Tottenham","Portsmouth","2","1","H","2","9","8","1",0.571428571428571,1.85714285714286,10.5714285714286,9.71428571428571,5.42857142857143,5.85714285714286,85861000,33621000,5,17,23.1,26.4,4.06,2.71,7,0,0,1,0,1,6,1,9,4,10,0,0,0,0,1,3,114,-0.857142857142857,1.14285714285714,-1.28571428571429,-12
"2348","2006-10-01","WestHam","Reading","0","1","A","6","8","9","7",0.714285714285714,1.42857142857143,7.57142857142857,6.71428571428571,2.85714285714286,3.57142857142857,23091000,8822000,9,18,25.1,24,2.55,0.622,7,0,1,0,4,1,7,1,7,2,7,0,0,0,0,0,3,68,-0.428571428571429,0.142857142857143,-0.714285714285714,-9
"2349","2006-10-02","Watford","Fulham","3","3","D","4","5","7","9",0.428571428571429,1,9.71428571428571,8,4.85714285714286,4.14285714285714,10445000,29300000,18,12,23.1,26.3,0.412,2.05,7,1,0,2,1,2,4,2,4,3,7,0,0,0,0,1,1,23,-0.428571428571429,-0.571428571428571,-0.571428571428571,6
"2350","2006-10-14","Arsenal","Watford","3","0","H","8","4","4","7",1.14285714285714,0.428571428571429,15,9.71428571428571,8.42857142857143,4.85714285714286,98783000,10445000,4,18,22.8,23.1,5.69,0.412,7,0,1,6,2,6,2,7,2,7,3,0,0,0,0,3,1,23,0.571428571428571,-0.428571428571429,0.714285714285714,-14
"2351","2006-10-14","AstonVilla","Tottenham","1","1","D","9","4","4","9",1.625,0.875,8.125,10.25,4.5,5.5,30078000,75961000,16,5,24.8,23.1,2.73,4.06,8,1,3,4,3,5,4,6,4,9,4,0,0,0,0,3,0,160,0.625,-0.625,0.75,11
"2352","2006-10-14","Liverpool","Blackburn","1","1","D","8","8","8","9",1.25,1.375,13.75,9.875,6.125,4.5,111832000,33031000,3,6,23.6,26.6,5.89,2.25,8,0,3,3,6,6,9,6,10,9,10,0,0,0,0,3,3,46,0,-0.125,-0.125,-3
"2353","2006-10-14","ManCity","SheffieldUnited","0","0","D","6","4","9","10",1,0.625,9.875,8.25,4.625,4.25,42840000,8223000,15,18,24.4,25.1,2.72,0.66,8,1,3,4,3,4,3,4,4,7,4,0,0,0,0,3,0,50,-0.375,-0.75,0.375,-3
