"","name","MV","season"
"272","Tyrone MearsT. Mears","£360k  ","20062007"
"273","Nigel Reo-CokerN. Reo-Coker","£3.15m  ","20062007"
"274","Hayden MullinsH. Mullins","£630k  ","20062007"
"275","Lee BowyerL. Bowyer","£3.49m  ","20062007"
"276","Nigel QuashieN. Quashie","£1.80m  ","20062007"
"277","Mark NobleM. Noble","£720k  ","20062007"
"278","Tony StokesT. Stokes","£45k  ","20062007"
"279","Shaun NewtonS. Newton","£450k  ","20062007"
"280","Luís Boa MorteL. Boa Morte","£3.15m  ","20062007"
"281","Matthew EtheringtonM. Etherington","£2.70m  ","20062007"
"282","Hogan EphraimH. Ephraim","£90k  ","20062007"
"283","Kyel ReidKyel Reid","£45k  ","20062007"
"284","Yossi BenayounY. Benayoun","£4.05m  ","20062007"
"285","Carlos TévezC. Tévez","£13.50m  ","20062007"
"286","Dean AshtonD. Ashton","£9.00m  ","20062007"
"287","Marlon HarewoodM. Harewood","£4.95m  ","20062007"
"288","Bobby ZamoraB. Zamora","£3.15m  ","20062007"
"289","Carlton ColeC. Cole","£2.70m  ","20062007"
"290","Kepa BlancoK. Blanco","£1.35m  ","20062007"
"291","Teddy SheringhamT. Sheringham","£450k  ","20062007"
"292","Tim HowardT. Howard","£2.16m  ","20062007"
"293","Richard WrightR. Wright","£1.13m  ","20062007"
"294","Iain TurnerI. Turner","£108k  ","20062007"
"295","Joleon LescottJ. Lescott","£7.20m  ","20062007"
"296","Joseph YoboJ. Yobo","£4.68m  ","20062007"
"297","Alan StubbsA. Stubbs","£1.04m  ","20062007"
"298","David WeirD. Weir","£900k  ","20062007"
"299","Mark HughesM. Hughes","£90k  ","20062007"
"300","Nuno ValenteN. Valente","£3.38m  ","20062007"
"301","Alessandro PistoneA. Pistone","£2.25m  ","20062007"
"302","Gary NaysmithG. Naysmith","£1.26m  ","20062007"
"303","Paddy BoyleP. Boyle","- ","20062007"
"304","Phil NevilleP. Neville","£4.05m  ","20062007"
"305","Tony HibbertT. Hibbert","£3.83m  ","20062007"
"306","Andy HoltAndy Holt"," ","20062007"
"307","Lee CarsleyL. Carsley","£2.03m  ","20062007"
"308","Anderson SilvaAnderson Silva","£450k  ","20062007"
"309","Mikel ArtetaM. Arteta","£6.08m  ","20062007"
"310","Manuel FernandesM. Fernandes","£5.40m  ","20062007"
"311","Leon OsmanL. Osman","£2.70m  ","20062007"
"312","Bjarni VidarssonB. Vidarsson"," ","20062007"
"313","Simon DaviesS. Davies","£3.33m  ","20062007"
"314","Kevin KilbaneK. Kilbane","£4.05m  ","20062007"
"315","Tim CahillT. Cahill","£7.65m  ","20062007"
"316","Andy van der MeydeA. van der Meyde","£7.20m  ","20062007"
"317","James McFaddenJ. McFadden","£2.93m  ","20062007"
"318","Andy JohnsonA. Johnson","£9.90m  ","20062007"
"319","James BeattieJ. Beattie","£7.07m  ","20062007"
"320","James VaughanJ. Vaughan","£270k  ","20062007"
"321","Victor AnichebeV. Anichebe","£45k  ","20062007"
"322","Mark SchwarzerM. Schwarzer","£3.38m  ","20062007"
"323","Brad JonesB. Jones","£315k  ","20062007"
"324","Ross TurnbullR. Turnbull","£45k  ","20062007"
"325","David KnightD. Knight","£45k  ","20062007"
"326","Jonathan WoodgateJ. Woodgate","£10.80m  ","20062007"
"327","Emanuel PogatetzE. Pogatetz","£3.42m  ","20062007"
"328","Ugo EhioguU. Ehiogu","£2.70m  ","20062007"
"329","Chris RiggottC. Riggott","£2.52m  ","20062007"
"330","Robert HuthR. Huth","£2.48m  ","20062007"
"331","Matthew BatesM. Bates","£810k  ","20062007"
"332","Andrew DaviesA. Davies","£450k  ","20062007"
"333","David WheaterD. Wheater","£45k  ","20062007"
"334","Seb HinesSeb Hines"," ","20062007"
"335","Rhys WilliamsR. Williams"," ","20062007"
"336","Andrew TaylorA. Taylor","£90k  ","20062007"
"337","Stuart ParnabyS. Parnaby","£1.35m  ","20062007"
"338","Abel XavierA. Xavier","£765k  ","20062007"
"339","Tony McMahonT. McMahon","£45k  ","20062007"
"340","George BoatengG. Boateng","£5.13m  ","20062007"
"341","Lee CattermoleL. Cattermole","£630k  ","20062007"
"342","Fábio RochembackF. Rochemback","£5.94m  ","20062007"
"343","Julio ArcaJ. Arca","£2.88m  ","20062007"
"344","James MorrisonJ. Morrison","£2.03m  ","20062007"
"345","Josh WalkerJ. Walker"," ","20062007"
"346","Gaizka MendietaG. Mendieta","£4.68m  ","20062007"
"347","Stewart DowningS. Downing","£6.30m  ","20062007"
"348","Malcolm ChristieM. Christie","£2.16m  ","20062007"
"349","Adam JohnsonA. Johnson","£360k  ","20062007"
"350","Jason EuellJ. Euell","£7.20m  ","20062007"
"351","Yakubu AiyegbeniY. Aiyegbeni","£9.90m  ","20062007"
"352","Mark VidukaM. Viduka","£4.95m  ","20062007"
"353","Massimo MaccaroneM. Maccarone","£3.15m  ","20062007"
"354","Dong-guk LeeD. Lee","£900k  ","20062007"
"355","Danny GrahamD. Graham","£360k  ","20062007"
"356","Tom CraddockT. Craddock"," ","20062007"
"357","Andreas IsakssonA. Isaksson","£5.40m  ","20062007"
"358","Joe HartJoe Hart","£810k  ","20062007"
"359","Nicky WeaverN. Weaver","£630k  ","20062007"
"360","Sylvain DistinS. Distin","£7.20m  ","20062007"
"361","Richard DunneR. Dunne","£4.50m  ","20062007"
"362","Jihai SunJihai Sun","£4.05m  ","20062007"
"363","Nedum OnuohaN. Onuoha","£1.80m  ","20062007"
"364","Micah RichardsM. Richards","£1.17m  ","20062007"
"365","Stephen JordanS. Jordan","£810k  ","20062007"
"366","Matthew MillsM. Mills","£360k  ","20062007"
"367","Ben ThatcherB. Thatcher","£3.83m  ","20062007"
"368","DaMarcus BeasleyD. Beasley","£3.15m  ","20062007"
